,id,followers,genres,name,popularity
740032,3Yn1fPnoPY2oqUYQM2I5sS,310.0,[],Dj Magic Romania,28
973543,6nXwf6AfLhSWtQSaKF9ek9,102.0,[],No Outlet,0
214800,7CCulbIhvClWedRDTuLaK7,20.0,[],SAMAY,1
674763,3P5GG6uAsZondaid9Kyv27,61.0,['virginia indie'],Azores,0
686076,1dsoeIRXuYB7a7Y3YO7UTT,1321.0,['deathstep'],Soberts,17
581237,2FgTWXznSWqFKTpnWaxIif,8.0,[],5E,0
287680,334ODgZOh8owTpHqef997L,6.0,[],D-Gray,0
230742,6kRnuxAwHimYDkFTQPKR3q,7243.0,['j-division'],[Anthos]影河凌駕(CV.濱野大輝)、灯堂理人(CV.伊東健人)、チセ(CV.駒田航)、如月薫(CV.土岐隼一)、結城眞紘(CV.山下誠一郎)、清瀬陽汰(CV.増田俊樹),34
169349,0rWMayP5qWv4dno1JFiwtj,20871.0,"['cumbia andina mexicana', 'cumbia sonidera']",Grupo Fragancia,43
75264,0IlFNIdTZr9s29lk2XvMk2,0.0,[],Bo Trill,0
828017,7gCDn4bxSK9eft8bUqN59V,8.0,[],Mark Lazarus With Queens Park Rangers Fc & Supporters,0
387292,4uhM6fdvuSbB8jYlFjzxCU,20.0,[],Hotel Pennsylvania Music,1
872783,6W6xWsJdUDSPliFuAN7TwZ,37.0,[],The Dotted Eyes,0
127536,0079DWjNVwiVPEawXbPJ7C,2.0,[],CPK the Rapper,0
681603,3rBQWlFXsBnMhZYBJsYn3z,0.0,[],Maa Bashi,0
4007,6Fijroi7uqwlQCQk7jvqG5,2011.0,['folklore boliviano'],Gladys Moreno,31
988503,6KG5xGfyTD22KGnHreO6ek,1138.0,[],Dried Spider,9
647776,4VoSGonRtGMwsfuvDlfCxR,23.0,[],Abrasator,0
1020927,2PImqxIKwrtXAKdpciSbU2,333.0,[],Jazz Music Matters,19
44379,049IAlroHW5DaM7E97MAce,0.0,[],YGR KBandz,0
1053280,1Xjm7jpjGWmZ2i6XSJpE7V,806.0,[],Los Reyes del Norte,5
812533,3PvNpL9f6QjPvlL6fIhi4l,1.0,[],Armath & Lady Sargon,0
865359,38ZT2Yvgs5D2kesvsZzLED,173.0,[],Jessica Crawford,1
82621,22HwnF4wTRtOqq6eWw18BX,219585.0,"['chanson', 'francoton', 'french pop']",Grégory Lemarchal,50
256072,7At1Y7wXvRlbfxodEiIHK5,2306.0,"['norwegian contemporary jazz', 'norwegian jazz']",Steinar Raknes,20
907514,2a9cMfGFqF1oWGpqXzCrrL,10.0,[],Bob Clendenen,0
841245,0Cdg3HHX0taaYq9eNrlzVV,42.0,[],Leon McAuliff,1
607694,2VTqUIl5tlkVAeSfdSztwB,539.0,[],TMTTMF,34
701696,1H75uQ98BqQ6BTe7U4TL6V,11.0,[],Nick Young,1
803534,0lTUXqfsQgGKWa3kWDnsQK,0.0,[],Jekky Roll Morton's Red Hot Peppers,0
898883,19m74MwbhmCwUvokEOAlCA,171.0,[],Perviz Bulbule,11
693934,5GsR0GeE6d6UCFXTcruAVN,8.0,[],Wess Floyd & The Daisycutters,0
174915,1egTA9mNgTwglPEQLmMd9W,29459.0,"['hardcore', 'melodic hardcore', 'nyhc', 'post-hardcore', 'straight edge']",Snapcase,37
265188,47KiS7rrEXolpFicX0aTGe,916.0,[],Callum J Wright,41
502434,3mjAZo42xfesx4eaHnooBo,57.0,[],Miri Milman,0
705925,7yJ7U4MAPkgDbrid86C1UE,111.0,['rave'],The Beatsquad,5
487351,7w5NgsxFYr4gOThMGDODU1,455.0,['timba'],El Zorro,9
526343,5La9loinfk3p7WETEfVpC0,6.0,[],Dave French,0
395352,1P2QbCWRfx3t99tZSUdL18,229.0,['french classical piano'],Cristina Ariagno,46
389664,512aOZmcxssqymKn6FkvDj,18.0,[],Perry Bradford's Jazz Phools,0
548541,13qLSXrjfqf9Auao5ZvW84,5.0,[],Kid Kad,0
878817,6rEhRctxHPuyNH7T1MECMr,1119.0,[],CAPTAIN HEDGE HOG,14
252280,4UgqNDexvxARO88gFOpBha,23.0,['austindie'],Tow the Line,0
1082530,51iB0fMJw0HGHJSJLbfXh7,25.0,[],Alejo Fleitas,0
465010,74AElg12ikjvFzDxkLpE1n,2626.0,[],Bradford Ravenscroft,15
1051953,5Znbv0sy2PhjK9WK4Ydm6n,14.0,[],Inayah,0
134840,21VSyksqqvyL5XWnfGjIUG,3.0,[],Manmohan Krishna,0
307539,2mOh2ooLWlVBbURHJSXsxS,4.0,[],Grigory Lvovsky,1
265741,5C5mVIHAEIbomEs6nsNWJ9,12587.0,"['australian r&b', 'trap soul']",CVIRO,43
728142,37Yc7NS5Jn0ieWW5Qb1CZA,596.0,[],Skyron,13
717591,7fid5GJ2Kn4XShKNdGSN4h,18.0,[],Dead Red,0
904282,2axutxMSzwSrvkH339wYy8,40.0,[],Sterling Waite & the Cotton Avenue Hustlers,0
64988,6TlhWcs3imNDmxFviZjpDX,133266.0,"['afroswing', 'birmingham hip hop', 'uk hip hop']",Lotto Boyzz,57
574174,7GKOs4Zihv6iah6uXZHfF6,16.0,[],Dakota Drive,0
685054,2NIRDeREcX08x0BLbvkEnT,26.0,[],Ariel Aparicio,1
554312,6PxxzxC0Wyk6blcwGUy0bQ,275.0,[],HMC,8
198038,6hkah6kDDj8tNuV4OJYvGG,740.0,['rap calme'],Sage Pee,26
814517,3Nr21dMICsLrIxcPHMGbvS,10.0,[],Roger Cooper,0
737031,6UslS9eA0hvjRPYcsSqZ7H,141.0,[],Gui Monteiro,11
538919,2P89nT1j9Z3lWQRvtgKOCs,101.0,[],The Mal Gibson Project,26
250911,5bLrWFcFevUNPY3bOmQXjg,29.0,[],Michael O'shields,0
14714,0DnmOp2SUaeavTi6a32pGY,16246.0,"['cantautor', 'spanish rock']",Rafa Pons,38
916872,4IxYPDd7AXw23Eb6jBblEl,2774.0,['chihuahua indie'],Tetas Lazzer,18
961561,1czAWWimc4PWAdb0fEQU6g,27.0,[],Greg Murai,0
908367,32s7vjlyqSCLwqDvqkkTuw,82.0,[],Tadashi Imai,42
125876,3pUpNmKQqWoun3eUR58ExP,4.0,[],KJ,5
107681,2AdHgc2Ov9MBPraIOiqmNj,8.0,[],Hebera,5
951925,0cyxkEwfyZdVXkcX3fUtRL,68.0,['rva indie'],Heavy Midgets,0
917878,2xmXiAZNbIpPVJCMrbst36,17.0,[],Seth Andreson,0
732901,1GEKYZZjdsG04MFmyYfdLA,37.0,"['hardingfele', 'norwegian folk']",Mari Eggen,2
664103,2bpkkMcSn5BV6zCHiQLExo,804.0,[],Sébastien Agius,24
602623,3vc6JwofrWRmpkYXNWFkna,2.0,[],Chris Chor Westgard,0
137662,4bAsmozSfvwPmObx4U5Vzw,271.0,[],Anne Germain,33
637229,4XUf8y3R5uGb4sENVDbLeV,45.0,[],Everyday Loneliness,1
863714,6TXy8wUdMKArYfpOYXJ75Z,14.0,[],Annie Minogue Band,0
606926,3lbZeL2cQgeaRRToDgnCSb,2.0,[],"Freudenberger, Axel; Uphoff, Hanko",0
410017,37gVhCkklnthAgXMiXpieX,307.0,[],Bruno Guedão,12
811249,2sPMAiMK9a5hcABOBsbPip,3.0,[],ToneKrusher Smith,0
547953,0zU0wVollyhKoZXe6znIBF,2761.0,[],Shtuby,22
362434,3doZnnDoNOW8mUjC6DILSk,164.0,[],MTJUNKER,14
1079355,7zuYaV5E5zViCMJkWIZ60d,41.0,['bboy'],DJ Siens,1
118135,0OBgxKQCyhScY4ryVs76MU,0.0,[],Eddie Shenon,0
809984,65rgFFo5REahhGvyceQjHO,21.0,[],LA Kena,6
916377,5MLew8OT7YR1ig0Nko5q2V,1.0,[],Purfocus,0
1061145,4oM04xyFRkfO8gW7wt4flp,154.0,[],Tony Hammer,15
223500,4HnK7qFqgUAuOXJGdaZi6r,1677.0,"['canti alpini', 'classic italian folk pop', 'classic italian pop', 'vintage italian pop']",Enrico Musiani,27
485719,5lUaoAqWTnx5NOFYz2Vo4O,8.0,[],Female singer and musicians of Cuyo Grande,0
513528,7Gu7VrFpkx7csENvASd1JC,10.0,[],Lil B & Dougie D,0
619567,0k2CX6GIUdBHoVRR4jl1fe,83.0,[],테이,6
617060,2a2kJKUQQnbAM2ZI9pRRoM,89.0,[],Silverstone Jack,1
1102305,6JNRm1DzYZpDzvMlnzyaXE,16.0,[],Prometheus Dreaming,0
704859,3lGO6uBIzoFyU6OoGMER1B,4560.0,['scottish indie rock'],Dead Pony,34
435405,2aebxbx5PQvmmVb9cW8ZkG,41.0,[],Kevin Wong,1
726407,7nZxuvhQs2uxHXggvMp95l,3664.0,[],Yonatan Gat,12
337466,5vUGAOyE1zWhCrMTY36OAV,121.0,['finnish psychedelic rock'],The Groke,1
1023859,0eP0tLtgP5yRLUgZzRE7MF,628.0,['arab folk'],Yuval Ron Ensemble,1
790419,69WIGJwVwLTgzvtxWBWqKr,2.0,[],Tsitanis,0
540540,1T0jkjcPB2OUmOb3pNr9wU,9739.0,['british alternative rock'],FVK,21
790953,2XSNsxVvjnJeJZwB3kf87S,13.0,[],Severino Filho and His Orchestra,0
891118,7iumEMk4Gz8XrmA0bcs4LQ,72.0,[],Zully Goldfarb,2
